health_zone,lng,lat
Kivandya,29.46235,0.05625
Kyalamahendi,29.0826944,0.1997222
Vuhima,28.980361,0.096122
Mbata,29.122,0.2310556
Musingiri,29.222725,0.118007
Magherya,29.5380554,0.0641667
Misugho,29.1815334,0.2040001
Bukoka,29.0835,0.3609444
Kivira,29.2228333,0.2838889
Katimbya,29.093067,-0.099114
Kipabashi,29.1202499,0.4808889
Mako,29.0575556,0.294
Wayene,29.322733,0.15715
Mbangi,29.138844,0.080367
Kenge Kitara,29.1187224,0.40225
Butengwa,29.0552,0.06198
Chavisale,29.4186,0.20551
Mavono,29.3176,0.17285
Baswagha,29.1581,0.01914
Kavali,29.1499722,0.3061389
Makerere,29.300717,0.149283
Lukono,29.0635,0.3189194
Kisunga,29.4360833,0.0828499
Masoya,29.1093333,0.2943333
Mikama,29.2517,0.25665
Vusinge,29.1136944,0.28675
Mandelya,29.2754167,0.3570278
Kivandya,29.6558334,0.1541667
Mutwanga,29.74576,0.32893
Bulongo,29.69288,0.32609
Vuteke,29.6811112,0.2752778
Kihondo,29.7302778,0.1927777
Mwenda,29.7699471,0.4101911
Bahambu,29.74627,0.32357
Kyavitumbi,29.74286,0.33817
Kalivuli,29.6972222,0.2844444
Malambo,29.67799,0.32534
Kilia,29.63,0.3578
Obengebenge,25.0423313,-1.3864199
Litoko,24.7761282,-1.0316649
Mohera,24.7494482,-1.0440153
Shemakongolo,27.8199166,-1.2979166
Bitule,27.044331,-0.9631771
Filo,28.2014932,-1.6290739
Makote,27.3363459,-1.0716633
Lisala,28.1039339,-1.2361329
Balambankoko,27.7336388,-1.2796918
Ruvungi,28.279674,-1.175709
Otobora,28.3802782,-1.7430561
Kasuka,28.3449352,-1.19711
Mafombi,27.6551261,-1.2592941
Molisho,27.3497594,-1.0945419
Mitusenge,28.0867298,-1.31892
Mundindi,27.3718842,-1.1192394
Lekesa,28.0656943,-1.2538889
Nyamiala,28.081242,-1.603035
Utufalu,27.4986945,-1.190099
Kibua,28.4162519,-1.233965
Bucaguzi,28.1062328,-1.502657
Mutakato I,28.0708888,-1.2678889
Mutiko,28.2104809,-1.623463
Mubi,27.8568782,-1.2951881
Mbeki,26.8128493,-0.8594384
Osso,27.2709493,-1.0273701
Wenga,28.094512,-1.3634
Makaki,28.0770419,-1.593895
Shabunda,28.079203,-1.233531
Tusoki,28.1593001,-1.679699
Karumya,28.1390832,-1.5249722
Tutero,28.0645556,-1.2306944
Musenge,28.2649432,-1.6149861
Olema,27.7026946,-1.2780613
Tingitingi,26.6319754,-0.7810605
Amisi,27.1123482,-1.0069598
Muteke,28.1227072,-1.6663091
Mutongo,28.0922512,-1.348571
Rekesha,27.9541921,-1.3285463
Majaliwa,28.0436667,-1.3823611
Nyamukaka,28.0562778,-1.3934167
Mutoyo,27.966273,-1.3301103
Kampala,28.0990231,-1.475827
Mutakato II,28.0703611,-1.2879444
Ndjingala,27.7720121,-1.2782156
Tendelukala,28.070604,-1.2907221
Kanyama,27.7273757,-1.2788242
Mufuti,28.3524998,-1.6808331
Kembe,28.2683981,-1.173072
Mayuwano,27.7908056,-1.2776389
Nkumbwa,28.1362831,-1.2473449
Nyandakala,27.8490276,-1.2963055
Obomongo,27.2481396,-1.0137783
Likoka,28.0839168,-1.5796667
Eliba I & II,27.8273887,-1.2985278
Burumu,28.359292,-1.205793
Bunyampuli,28.3034858,-1.1777349
Katanga,28.092753,-1.234566
Logu,27.6871617,-1.2677168
Amasla,26.7965313,-0.8562238
Kumianga,27.0638265,-0.9847232
Tenderukara,28.0679167,-1.28375
Itebero,28.1317759,-1.6769201
Nyasi,28.1126452,-1.518214
Botokolo,27.3086572,-1.0339236
Kasindi,28.1069662,-1.637019
Boboro,27.9397047,-1.3261137
Katindo,28.0600425,-1.3967814
Bulambo,28.10353,-1.493993
Mubanda,28.091866,-1.401002
Savieme,28.172943,-1.678139
Densite,27.7632778,-1.2810278
Obolongo,26.7656417,-0.8477983
Lukumbi,27.3442116,-1.0861224
Lukonda,28.1929511,-1.638873
Birengeti,28.0961071,-1.3800549
Nyamitaba 1,28.0438621,-1.383116
Kakuku,28.0501945,-1.3936667
Osokari,27.8111368,-1.29232
Busisi,28.0947499,-1.5406389
Busao,28.1335835,-1.2447223
Obianda,27.6454184,-1.2519682
Ochakasa,26.6120253,-0.7633952
Kigoma,28.2005212,-1.200038
Isanga,27.78625,-1.2759167
Munangili,28.2247097,-1.1744142
Mabenga,27.4810429,-1.179077
BanaKabutwa,28.1238332,-1.2421944
Matenda,27.7406111,-1.2793056
Kabamba,28.2282509,-1.619613
Tengeza,27.6238285,-1.2199166
Mera,28.402628,-1.235901
Kirundu,28.0133567,-1.3627308
Umaema,26.7315502,-0.8310211
Kibati Utfalo,27.4210315,-1.1408308
Ngora,28.0932959,-1.3378419
Katete,28.0810555,-1.5499722
Mungele,27.1617004,-1.0034986
Busayu,28.128704,-1.2424729
Nyamakombola,28.1156231,-1.648058
Lowa,28.078277,-1.5550939
Bunesa,28.112359,-1.239132
Boboro,27.6328333,-1.3302222
Butua,28.1246666,-1.5206944
Munyanya,27.3852481,-1.1231474
Nyamianda,28.0930039,-1.3885521
Mika,28.0812222,-1.5670555
Kabunga,28.167403,-1.6784271
Kinkambe,28.0679349,-1.420593
Kabangwa,28.1135556,-1.5220834
Kayilenge,28.175729,-1.239969
Nyamitaba II,28.0346473,-1.3749109
Kingombe,27.2134905,-1.0085117
Nyakatanda,28.2205501,-1.622786
Mutakato III,28.0700276,-1.2685
Kabusa,27.8439721,-1.2972221
Kakumbi,28.0480384,-1.3898088
Irangi,28.4347222,-1.8338889
Mpofi,28.2030739,-1.174295
Katoto,27.9249167,-1.3215001
Kakundu,28.0991182,-1.5395689
Musimya,28.120702,-1.2410139
Bambue,25.2650556,1.1395556
Babunda,27.6966667,1.4044444
Avakubi,27.5563889,1.3111111
Biaro Rail,25.3214194,-0.2356222
Sometra I,25.5321389,0.1971389
Bamboloi II,25.2106667,0.9235833
Salate,28.3888889,1.4052778
Bayakiadu,25.19775,0.8731111
Molokayi,28.2780556,1.4363889
Badumbu,27.3461111,1.1361111
Kilimamweza,28.9547222,1.3619722
Kanyonyo,25.5003944,-0.8308
Batikobabo,25.1459167,0.3865556
Babula,25.1128889,0.6052222
Madidi,29.0326389,1.3712778
Bambane II,25.1928889,0.6643611
Bahaha,29.3561944,1.3958056
Alima,29.0525278,1.4008056
Kirundu,25.517238,-0.794003
Kisesa,25.2525556,0.3232583
Kipokoso,25.5202811,0.1967653
Bambae,25.2225556,0.7843333
Koko,29.0333333,1.3530833
Abanganbo,25.3153056,1.5437778
Batshiabombi,25.1155556,0.6134444
Bafwapoka,27.4713889,1.2016667
Gabon,29.0404722,1.3558333
Lubamba II,25.4362778,-0.3623611
Batiapanga,25.4041667,0.3616944
Makoko 2,29.0438056,1.43075
Babombilo,25.3743889,0.4494167
Manya,29.1558611,1.3501111
Parana,28.906,1.3833611
Batshombele,25.1155556,0.6182222
Bafwakoa,27.935,1.3938889
Bafwazana,27.1610638,1.0144829
Lubamba I,25.4259444,-0.3600833
Mirindi,29.0320278,1.3605833
Pekele,29.0931111,1.3535
Gbadolite,25.1374444,0.3460833
Belgika,25.2439722,1.0049722
Bamini,25.1520556,0.3723889
Badengayido,28.0752778,1.4094444
Mabukulu,29.2159722,1.3452778
Alambi,28.8946315,1.9596415
Jalo,30.7219439,1.820556
Dhero,30.6581,1.8226111
Loda II,30.8530833,2.0181111
Ngiri,30.6350278,2.1304167
Noga,30.7016667,2.01825
Bule,30.5831111,1.9575556
Donga,30.8361389,2.0183611
Jupalaju,30.9361944,1.9473333
Langbe,30.6518,1.7943056
Dhera,30.6084722,2.11775
Denga,30.8870833,2.0338333
Djupalang'U,30.8743333,2.1221389
Lodo,30.7555,1.9089444
Cong'A,30.8858889,1.9818056
Ramogi,31.0533329,2.0433331
Djaibu,30.8336667,2.0046389
Asoko,30.9370556,1.9503333
Kilo,30.8687778,1.9815278
Jiba,30.6981667,1.87925
Tsulo Akpa,30.7987778,1.9435833
Kaa,30.6459167,1.9575833
Wi-Vu,30.9196111,1.9293333
Lowe,30.657,1.8478889
Linga,30.7398889,2.0274167
